archery|ban cung
attendant|nguoi phuc vu
badminton|cau lon
bag|tui
barcode reader|may doc ma vach
baseball|bong chay
basket|ro, gio
basketball|bong ro
beach|bai bien
boat|thuyen
bowling|bong go
boxing|quyen anh
buy|mua
captain|thuyen truong
cash| tien mat
cashier|nhan vien thu ngan
cheap|re
clam|ngheu
close|dong
computer|may vi tinh
contact sport|the thao tiep xuc
copy|sao chep
coral|san ho
coral reef|ran san ho
counter|quay hang
crab|cua
credit card|the tin dung
customer|khach hang
cycling|dua xe dap
database|co so du lieu
delete|xoa
discount|giam gia
disk drive|o dia
dolphin|ca heo
expensive|dat 
file|tep, tap tin
fish|ca
fisherman|ngu dan
golf|danh gon
greengrocer|cua hang ban rau qua
hacker|tin tac
harbor|cang bien
hard disk|o cung
helpline|duong day tro giup
horse racing|dua ngua
housewares|do gia dung
ice skating|truot bang
index card|phieu lam muc luc
island|dao
jellyfish|sua
lacrosse|bong vot
laptop|may tinh xach tay
lifeguard|nguoi cuu ho
lighthouse|hai dang
magnifying glass|kinh lup
manager|giam doc, quan ly
map|ban do
merge|sat nhap
money|tien
monitor|man hinh
mouse pad|tam lot chuot
notebook|cuon so, vo
ocean|dai duong
octopus|bach tuoc
open|khoi dong
paint|son, mau
paintbrush|choi son
palette|bang mau
paper|giay
paper clip|kep giay
paper fastener|dung cu kep giay
pay|tra tien
pen|but muc
pencil|butchi
pencil case|hop but
pencil sharpener|do got but chi
pin|dinh ghim
post-in note|giay nho
price|gia ca
printer|may in
protractor|thuoc do goc
receipt|bien lai
ribbon|ruy bang
ruler|thuoc
running|chay
save|luu
scale|cai can
scanner|may quet
scissors|keo
scotch tape|bang dinh trong suot
sea|bien
sea horse|ca ngu
seagull|mong bien
seal|hai cau
seashore|bo bien
seaweed|rong bien
select|chon
sell|ban
set square|e-ke
shark|ca map
shellfish|dong vat co vo
ship|tau thuy
shop|cua hang
skiing|truot tuyet
software|phan mem
speaker|loa
sport|the thao
staple remover|cai do ghim bam
stapler|do dap ghim
starfish|sao bien
stencil|giay nen
submarine|tau ngam
swimming|boi loi
table tennis|bong ban
tape measure|thuoc day
tennis|quan vot
test tube|ong nghiem
textbook|sach giao khoa
thumbtack|dinh ghim
toolbar|thanh cong cu
trolley|xe day
turtle|rua bien
walking|di bo
wall|buc tuong
wallet|vi tien
water polo|bong nuoc
water sports|the thao duoi nuoc
watercolour|mau nuoc
wave|song
weightlifting|cu ta
whale|ca voi
wrestling|dau vat
